id,tournament_id,auction_run_id,auction_player_id,player_id,result_status,winning_team_id,final_bid_cr
2,4,5,3,2,SOLD,5,6.00
3,4,5,4,9,UNSOLD,,
4,4,5,5,6,UNSOLD,,
5,4,6,6,8,UNSOLD,,
6,4,6,7,10,SOLD,5,3.20
172,7,63,188,3,SOLD,15,4.00
175,7,64,191,5,SOLD,15,4.50
176,7,64,192,10,UNSOLD,,
177,7,64,193,8,UNSOLD,,
173,7,64,189,446,SOLD,15,7.00
174,7,64,190,1,SOLD,16,6.00
171,7,63,187,2,SOLD,15,6.00
178,7,,,24,SOLD,15,2.50
179,7,,,7,SOLD,15,3.25
181,7,65,195,75,SOLD,16,2.00
182,7,65,196,85,SOLD,15,2.50
184,7,65,198,72,SOLD,15,3.00
185,7,65,199,71,SOLD,16,3.00
186,7,65,200,84,SOLD,15,2.00
187,7,65,201,92,SOLD,16,2.00
188,7,65,202,73,SOLD,15,2.00
189,7,65,203,86,SOLD,16,2.00
190,7,65,204,93,SOLD,16,2.00
191,7,65,205,77,SOLD,16,2.00
192,7,65,206,78,SOLD,16,2.00
193,7,65,207,80,SOLD,16,2.00
194,7,65,208,94,SOLD,16,2.00
195,7,66,209,9,UNSOLD,,
196,7,66,210,6,UNSOLD,,
197,7,66,211,4,SOLD,15,4.00
198,7,67,212,8,UNSOLD,,
199,7,67,213,9,UNSOLD,,
200,7,67,214,6,UNSOLD,,
201,7,67,215,10,UNSOLD,,
202,7,68,216,59,UNSOLD,,
203,7,68,217,41,UNSOLD,,
204,7,68,218,53,UNSOLD,,
205,7,68,219,57,UNSOLD,,
206,7,69,221,432,UNSOLD,,
207,7,70,222,41,UNSOLD,,
208,7,70,223,59,UNSOLD,,
209,7,70,224,53,UNSOLD,,
210,7,70,225,57,SOLD,16,2.00
211,7,71,226,11,UNSOLD,,
212,7,72,228,10,UNSOLD,,
213,7,73,230,428,UNSOLD,,
214,7,73,231,408,SOLD,15,1.25
215,7,74,233,186,UNSOLD,,
216,7,74,234,167,UNSOLD,,
217,7,74,235,171,UNSOLD,,
218,7,74,236,166,SOLD,15,2.25
180,7,65,194,74,SOLD,16,3.00
183,7,65,197,97,SOLD,15,3.00
