id,tournament_id,set_number,bid_timer_seconds,minimum_bid_increment_cr,maximum_bid_increment_cr,status
64,7,1,15,0.50,1.00,STOPPED
65,7,4,1,1.00,1.00,STOPPED
66,7,1,15,1.00,2.00,STOPPED
5,4,1,15,0.25,,STOPPED
6,4,1,20,0.25,,STOPPED
67,7,1,5,1.00,1.00,COMPLETED
68,7,3,15,1.00,1.00,STOPPED
69,7,16,5,1.00,1.00,STOPPED
70,7,3,5,1.00,1.00,COMPLETED
61,7,1,15,0.50,1.00,STOPPED
71,7,2,15,1.00,1.00,STOPPED
72,7,1,5,1.00,1.00,STOPPED
73,7,15,5,1.00,1.00,STOPPED
74,7,7,15,1.00,1.00,STOPPED
62,7,2,15,0.10,1.00,STOPPED
63,7,1,15,0.50,1.00,STOPPED
