player_id,bat_matches,bat_innings,bat_runs,bat_highest,bat_average,bat_strike_rate,bat_100s,bat_50s,bat_4s,bat_6s,bowl_matches,bowl_innings,bowl_wickets,bowl_average,bowl_economy,bowl_best,catches,run_outs,stumpings,source
PLY0001,160,158,4967,109,33.11,142.3,2,35,520,190,0,0,0,0,0,0/0,65,12,0,curated
PLY0002,365,362,12871,100,36.22,139.5,1,103,1385,460,25,10,8,42.5,8.2,2/15,120,18,0,curated
PLY0003,380,370,11231,95,35.12,130.8,0,78,1020,285,15,5,3,55.0,7.8,1/12,155,15,0,curated
PLY0004,320,318,9351,112,30.85,142.1,3,55,980,395,8,3,2,48.0,8.5,1/18,110,14,0,curated
PLY0005,340,338,10280,138,32.65,136.8,5,62,1105,380,0,0,0,0,0,0/0,185,10,120,curated
PLY0006,510,475,11389,117,29.5,171.2,3,52,780,685,420,265,418,21.8,8.9,5/15,230,22,0,curated
PLY0007,285,240,4860,89,22.65,139.8,0,22,410,180,270,268,348,22.5,8.1,5/10,105,15,0,curated
PLY0008,440,420,8950,84,27.45,132.6,0,45,720,210,430,425,528,24.2,6.8,5/20,190,18,0,curated
PLY0009,365,180,1650,34,12.35,125.4,0,0,145,52,365,362,498,20.8,7.9,5/18,85,12,0,curated
PLY0010,330,165,1480,32,11.85,120.6,0,0,125,45,330,328,465,19.5,7.6,6/16,78,10,0,curated
PLY0011,355,350,9880,108,31.65,138.4,2,68,890,370,45,25,32,38.5,8.4,3/22,130,16,0,curated
PLY0012,290,288,8750,117,32.2,148.5,3,58,820,355,0,0,0,0,0,0/0,115,14,85,curated
PLY0013,410,395,10980,112,30.45,135.6,2,62,950,400,85,40,48,35.2,7.8,3/18,165,20,0,curated
PLY0014,375,370,10450,106,31.8,145.2,1,72,920,420,12,5,4,45.0,8.0,1/20,140,18,0,curated
PLY0015,420,415,10820,100,30.25,141.8,1,65,960,385,55,30,38,32.5,7.2,4/22,175,22,0,curated
PLY0016,310,305,9150,101,31.5,138.8,1,55,840,340,0,0,0,0,0,0/0,120,15,70,curated
PLY0017,280,275,8450,96,30.85,136.2,0,48,780,320,30,18,22,36.5,8.2,2/15,100,12,0,curated
PLY0018,385,380,10250,93,29.65,133.5,0,58,910,360,95,50,58,28.5,7.5,4/20,155,18,0,curated
