id,player_id,name,country,role,is_overseas,set_number,base_price_cr,telegram_file_id,telegram_photo_path
447,PLY0445,Jordan cox,England,Wk - right hand batsman,f,3,3.00,AgACAgUAAyEFAAMBCPr5EgACFMVqlWZAB11aN6UCjo1sn6d5-Bq0twACmxFrG_pRsFSQBdgw9ycKLwEAAwIAA3gAAz0E,data/photos/PLY0445.jpg
448,PLY0447,Richard gleeson,England,Bowler - right arm fast medium,f,1,3.00,AgACAgUAAyEFAAMBCPr5EgACFQ1qlWg0WmUna1YQRDpGAaHQv0AXjAACrhFrG_pRsFQYEiWl2YsJXAEAAwIAA3gAAz0E,data/photos/PLY0447.jpg
449,PLY0448,Sunil narine,West Indies,All rounder - right arm off break,t,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFRxqlWjZYkx1zdvSZhERuLepnN3EjgACrxFrG_pRsFSAqMvq0iUHVAEAAwIAA3kAAz0E,data/photos/PLY0448.jpg
450,PLY0449,Harry brook,England,Right hand batter,f,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFS1qlWm3_Ui4LIhNgClKFQyKYfaE7wACsRFrG_pRsFRmLhFEf4Ou5QEAAwIAA3kAAz0E,data/photos/PLY0449.jpg
451,PLY0450,Olly pope,England,Right hand batter,f,4,2.50,AgACAgUAAyEFAAMBCPr5EgACFT1qlWpzzXbhUa9XFsDJTgbYfGMBhQACshFrG_pRsFTQgkoeGBgMiwEAAwIAA3kAAz0E,data/photos/PLY0450.jpg
452,PLY0451,Mitchell Starc,Australia,Bowler - left arm fast,t,2,3.00,AgACAgUAAyEFAAMBCPr5EgACFU5qlWtHsk6sWvzTZiyxFy9ICj1pGQACtBFrG_pRsFRqvpZxT-w59QEAAwIAA3kAAz0E,data/photos/PLY0451.jpg
15,PLY0015,Alex Hales,England,Batter,f,2,2.75,AgACAgUAAyEGAAT_2KgcAAICVWqTzziC50JURvzyXE4ndlTgnTuHAAIeE2sbW7GYVFkW1dvjrcp8AQADAgADdwADPQQ,data/photos/PLY0015.jpg
453,PLY0452,Jofra archer,England,Bowler - right arm fast,f,2,4.00,AgACAgUAAyEFAAMBCPr5EgACFV5qlWu_t6k9_oyu0sAAAULz6Uf51Y8AArkRaxv6UbBUDaDMdRY1OXMBAAMCAAN5AAM9BA,data/photos/PLY0452.jpg
454,PLY0453,Tim david,Australia,Right hand batter,t,3,4.00,AgACAgUAAyEFAAMBCPr5EgACFXpqlW0Pe8a6sC_jPsG3uxHxmi7tugACwhFrG_pRsFQj1m0rU_0CyQEAAwIAA3kAAz0E,data/photos/PLY0453.jpg
455,PLY0454,Jonny Bairstow,England,Wk battter,f,4,3.00,AgACAgUAAyEFAAMBCPr5EgACFYpqlW3tMREFD8Mh8Qz1sdRNXZ0Y_gACwxFrG_pRsFS0PHdQEsiVRwEAAwIAA3kAAz0E,data/photos/PLY0454.jpg
456,PLY0455,Josh hazlewood,Australia,Right arm fast medium,t,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFZpqlW6gQH2ad3jFskxshbQeBmBnIwACxxFrG_pRsFQa5z210oh4aQEAAwIAA3kAAz0E,data/photos/PLY0455.jpg
457,PLY0456,Jamie overton,England,All rounder / right arm fast,f,4,2.00,AgACAgUAAyEFAAMBCPr5EgACFapqlW80jX8uQq2NI2D3bafckOM3UwACyhFrG_pRsFRVy9MRsK9qYQEAAwIAA3kAAz0E,data/photos/PLY0456.jpg
458,PLY0457,James Anderson,England,Bowler - right arm fast medium,f,3,3.00,AgACAgUAAyEFAAMBCPr5EgACFbpqlW__okrL3TXtzXS2RPzHsT8XywACyxFrG_pRsFRrhUepYOhWKQEAAwIAA3kAAz0E,data/photos/PLY0457.jpg
459,PLY0458,David Miller,South Africa,Left hand batter,t,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFcpqlXC1dY0LbRyfGhQnXWqQ4P4xvQAC0hFrG_pRsFTWIgsWfXF7egEAAwIAA3kAAz0E,data/photos/PLY0458.jpg
460,PLY0459,David malan,England,Left hand batter,f,4,3.00,AgACAgUAAyEFAAMBCPr5EgACFdpqlXHyqzNGYCIc6pTOS0c9KdItegAC1BFrG_pRsFSziI0VT92wUQEAAwIAA3kAAz0E,data/photos/PLY0459.jpg
461,PLY0460,Moeen alli,England,All rounder - right arm off break,f,5,2.00,AgACAgUAAyEFAAMBCPr5EgACFe9qlXaSghl0i20SXDWoZddiUCltvAAC3hFrG_pRsFRU8GQI8gYbDAEAAwIAA3kAAz0E,data/photos/PLY0460.jpg
462,PLY0461,Ben stokes,England,All rounder - right arm fast medium,f,3,3.50,AgACAgUAAyEFAAMBCPr5EgACFkRqlXwdirQE09tYfX9XiZVN7LxeZgAC-hFrG_pRsFRGPhfl60rj-QEAAwIAA3kAAz0E,data/photos/PLY0461.jpg
463,PLY0462,Liam Livingstone,England,All rounder - right arm spinner,f,5,3.00,AgACAgUAAyEFAAMBCPr5EgACFlRqlXzsFoGIaSg7rGHyr0XO29755AAC_BFrG_pRsFRDUv5YxVAjdwEAAwIAA3kAAz0E,data/photos/PLY0462.jpg
464,PLY0463,Matheesha pathirana,Srilanka,Bowler - right arm fast,t,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFmRqlX3jOklbfNQNTq0n4GDs4bRSZwAC_RFrG_pRsFR_NUxU4kSnDwEAAwIAA3kAAz0E,data/photos/PLY0463.jpg
465,PLY0464,Nicholas pooran,West Indies,Wk - batsman,t,1,4.00,AgACAgUAAyEFAAMBCPr5EgACFn5qlX8Uz85eWWLMf-ZlZQgKdPrF5gACARJrG_pRsFThty3qhw4wrAEAAwIAA3kAAz0E,data/photos/PLY0464.jpg
466,PLY0465,Pat Cummins,Australia,All rounder - right arm fast,t,3,3.00,AgACAgUAAyEFAAMBCPr5EgACFo5qlYAuViyi4UeDNR2YP_weOTB5ngACBBJrG_pRsFRqS3myWunJmwEAAwIAA3kAAz0E,data/photos/PLY0465.jpg
341,PLY0341,Ben Slater,England,Batter,f,13,0.50,AgACAgUAAyEGAAT_2KgcAAIBx2qRnxTgq9YSiVB9rLJF4tEa9rC3AAKjEGsb7oqRVNz_ZXBgqfhPAQADAgADeQADPQQ,data/photos/PLY0341.jpg
344,PLY0344,Joe Denly,England,Batter,f,13,0.50,AgACAgUAAyEGAAT_2KgcAAIBymqRnxck1NEF4_JGAAEOCASpWfPiWwACpxBrG-6KkVQRqqSFNicGywEAAwIAA3gAAz0E,data/photos/PLY0344.jpg
198,PLY0198,Ben McDermott,Australia,Right-Hand Batter/Wicketkeeper,t,8,1.00,AgACAgUAAyEGAAT_2KgcAAICDGqRvnlLg-hsDIowWQ40x2_-DxZ-AAICEWsb7oqRVOJzXUkZydpRAQADAgADeAADPQQ,data/photos/PLY0198.jpg
209,PLY0209,Tim Southee,New Zealand,Right-Arm Fast Bowler,t,8,0.75,AgACAgUAAyEGAAT_2KgcAAICkmqT0GV6PNc3FaQgWv8JUtI7mOrrAAJZE2sbW7GYVBfdbRWxFbvzAQADAgADeAADPQQ,data/photos/PLY0209.jpg
